DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - pipeline transport - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,14.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - pipeline transport - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - pipeline transport - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,1.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - rail - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,131,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - rail - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,127.6,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - rail - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,34.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - rail - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,34,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - road - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,21.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - road - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,41,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - road - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,3.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - road - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,3.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,From direct carry-over,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,1200.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,From direct carry-over,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,1246.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,From direct carry-over,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,160.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,From direct carry-over,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,192.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Into direct carry-over,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,1200.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Into direct carry-over,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,1246.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Into direct carry-over,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,160.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Into direct carry-over,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,192.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Imports,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,1306.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Imports,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,1405.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Imports,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,159.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Imports,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,126.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - brown coal briquettes and peat briquettes plants - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - brown coal briquettes and peat briquettes plants - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,1.5,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - coal mines - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,37.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - coal mines - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,40.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,476.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,449.6,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,449.6,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,502.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - electricity and heat generation - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,330.2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - electricity and heat generation - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,314.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - electricity and heat generation - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,353.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - electricity and heat generation - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,390.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - liquefaction and regasification plants (LNG) - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,5,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - liquefaction and regasification plants (LNG) - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,9.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - not elsewhere specified - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,5.5,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - not elsewhere specified - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,2.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - not elsewhere specified - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,9.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - not elsewhere specified - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,8.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - oil and natural gas extraction plants - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,0.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - oil and natural gas extraction plants - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,0.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - petroleum refineries (oil refineries) - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,136.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - petroleum refineries (oil refineries) - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,123.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - petroleum refineries (oil refineries) - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,47.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Energy sector - petroleum refineries (oil refineries) - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,61.3,
