geo,TIME_PERIOD,Self_Sufficiency,Import_Dependency,Imports
Norway,2017,0.9750184935920164,0.0464754454957787,6111.0
Norway,2018,0.9588245454933202,0.06217587098697107,8339.724
Norway,2019,0.9278204572266967,0.09348761193406563,12353.0
Norway,2020,0.9879478801612525,0.0341092342129105,4496.145
Norway,2021,0.9575911686730243,0.05969443273943197,8235.069
Norway,2022,0.9219811886792371,0.10117146354543108,13271.0
Norway,2023,0.928358496617277,0.09919118949692363,13240.0
Poland,2014,1.0079117562295852,0.09216861974687568,13508.0
Poland,2015,1.0046191431562375,0.09674120179616544,14459.0
Poland,2016,1.008870691483288,0.09146045054891278,14017.0
Poland,2017,1.0195657274978356,0.08484162317374747,13271.0
Poland,2018,1.010142615890852,0.08619127337659528,13815.804
Poland,2019,0.9738443244633743,0.11101581758195808,17868.327
Poland,2020,0.9522836794187896,0.1303376256510753,20624.119
Poland,2021,0.993131605608832,0.09065535413244703,15099.836
Poland,2022,0.9951050320383582,0.09312010060295109,15237.63
Poland,2023,1.0003747037865465,0.09771403066798533,15139.915
Portugal,2014,0.9047601845132243,0.1411317983456985,7247.0
Portugal,2015,0.9007287162347124,0.15608956769953566,8077.0
Portugal,2016,0.9688311923910289,0.08833257566844757,4616.0
Portugal,2017,0.9712081476986447,0.10435209405291666,5505.732
Portugal,2018,0.9509705399087114,0.1050385483603999,5667.568
Portugal,2019,0.9013437731228671,0.15066146572113692,8099.208
Portugal,2020,0.9079019652782421,0.14596126412583596,7553.113
Portugal,2021,0.8693086816835243,0.17963588888072057,9544.418
Portugal,2022,0.8398357157964865,0.22607906444869005,12314.691
Portugal,2023,0.8269670590701214,0.2480364237201722,13656.0
Romania,2014,1.0525331873029062,0.05308080140491342,2811.0
Romania,2015,1.018737398960472,0.08308824889480791,4492.0
Romania,2016,1.0243683468000513,0.07653126660437165,4177.0
Romania,2017,1.0100947435306271,0.08646702638681977,4841.754
Romania,2018,1.0274655870382914,0.06477521425655611,3696.594
Romania,2019,0.9911937278000565,0.0978336093388482,5492.633
Romania,2020,0.9295716410977959,0.15196456371114472,8251.648
Romania,2021,0.9391910438991421,0.15420210835453702,8697.204
Romania,2022,0.9389720562335597,0.16727920487926315,8653.371
Romania,2023,0.9035819309252886,0.20526722169830566,10087.6
Sweden,2014,0.9381458874720493,0.10464132471142805,13852.0
Sweden,2015,0.9660877371298845,0.06895221420145561,9294.0
Sweden,2016,0.9339358973437848,0.10264903041319702,14287.0
Sweden,2017,0.9528988096088715,0.08499935693156323,11896.0
Sweden,2018,0.9494500666156419,0.08647277262805794,12202.0
Sweden,2019,0.963780803681248,0.06562287467260915,9070.0
Sweden,2020,0.9456266007504914,0.0880561677288701,11827.0
Sweden,2021,0.9733455687713973,0.05887833974517347,8341.0
Sweden,2022,0.9874209193654356,0.04562869565859312,6181.0
Sweden,2023,0.9755766214076093,0.055008894192880145,7329.0
Slovenia,2014,0.5560538116591929,0.542152466367713,7254.0
Slovenia,2015,0.4365869612617196,0.6573878915618868,9045.0
Slovenia,2016,0.49760662999214117,0.597199399871401,8359.0
Slovenia,2017,0.4600490248083553,0.6291392151897269,9132.532
Slovenia,2018,0.469419199585712,0.608021695376483,8930.239
Slovenia,2019,0.4619189603846597,0.6164586400955362,9021.273
Slovenia,2020,0.5805871761398883,0.5123866012841419,7119.95
Slovenia,2021,0.501797946836046,0.5829688483311909,8387.153
Slovenia,2022,0.3480951975685893,0.7299673698442447,10198.242
Slovenia,2023,0.4031165295906568,0.6833158431747183,9114.051
